OCCUR_DATE,BORO,LOC_OF_OCCUR_DESC,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE
12/29/2023,QUEENS,INSIDE,COMMERCIAL,RESTAURANT/DINER,false,(null),(null),(null),25-44,M,BLACK
12/29/2023,BROOKLYN,OUTSIDE,STREET,(null),false,25-44,M,BLACK,25-44,M,BLACK
12/29/2023,BRONX,OUTSIDE,STREET,(null),false,(null),(null),(null),65+,M,BLACK HISPANIC
12/27/2023,BRONX,OUTSIDE,STREET,(null),false,(null),(null),(null),<18,M,BLACK HISPANIC
12/26/2023,QUEENS,OUTSIDE,STREET,(null),false,(null),(null),(null),25-44,M,BLACK
12/26/2023,BRONX,OUTSIDE,STREET,(null),false,45-64,M,WHITE HISPANIC,45-64,M,WHITE
12/26/2023,QUEENS,OUTSIDE,STREET,(null),true,(null),(null),(null),25-44,F,BLACK HISPANIC
12/26/2023,QUEENS,OUTSIDE,STREET,(null),false,(null),(null),(null),25-44,F,BLACK HISPANIC
12/26/2023,BROOKLYN,OUTSIDE,STREET,(null),false,(null),(null),(null),25-44,M,BLACK
12/26/2023,QUEENS,OUTSIDE,STREET,(null),true,(null),(null),(null),25-44,M,BLACK
12/24/2023,BRONX,INSIDE,DWELLING,MULTI DWELL - APT BUILD,false,(null),(null),(null),18-24,M,BLACK
12/24/2023,BROOKLYN,OUTSIDE,STREET,(null),false,(null),(null),(null),25-44,M,BLACK HISPANIC
12/24/2023,MANHATTAN,INSIDE,HOUSING,MULTI DWELL - PUBLIC HOUS,true,18-24,M,BLACK,18-24,M,BLACK
12/24/2023,BROOKLYN,OUTSIDE,COMMERCIAL,BAR/NIGHT CLUB,false,(null),(null),(null),25-44,M,BLACK
12/24/2023,BROOKLYN,OUTSIDE,DWELLING,PVT HOUSE,false,(null),(null),(null),25-44,M,BLACK
12/23/2023,BROOKLYN,OUTSIDE,STREET,(null),false,25-44,M,BLACK,25-44,M,BLACK
